history_id,investor_id,idea_id,year,interaction_score
1,883,944,2018,0
2,153,547,2017,5
3,286,818,2020,0
4,123,249,2023,1
5,9,453,2016,4
6,15,843,2021,2
7,398,739,2023,0
8,521,376,2020,0
9,305,83,2023,0
10,500,347,2023,2
11,153,535,2018,2
12,723,480,2020,0
13,34,43,2023,2
14,454,826,2019,4
15,681,330,2019,4
16,847,804,2024,1
17,998,879,2021,4
18,437,784,2016,3
19,41,787,2016,0
20,21,414,2021,2
21,95,422,2023,0
22,872,547,2015,5
23,966,849,2021,3
24,671,940,2018,4
25,804,981,2024,5
26,828,435,2023,0
27,81,731,2018,5
28,842,355,2025,5
29,22,896,2019,5
30,598,791,2019,3
31,586,995,2018,4
32,686,404,2025,4
33,869,308,2015,4
34,26,725,2022,4
35,127,834,2021,3
36,246,674,2015,4
37,47,239,2021,3
38,632,459,2018,2
39,917,198,2016,1
40,501,878,2022,0
41,566,927,2023,3
42,887,72,2019,5
43,633,734,2015,1
44,941,444,2025,1
45,766,150,2016,4
46,419,979,2022,0
47,998,680,2024,4
48,132,648,2024,4
49,856,179,2024,3
50,902,578,2017,1
51,167,22,2025,4
52,826,723,2018,1
53,829,389,2016,5
54,579,889,2023,4
55,91,560,2015,0
56,334,257,2023,5
57,162,673,2015,4
58,874,464,2023,0
59,282,590,2017,0
60,447,675,2017,4
61,276,585,2024,2
62,761,490,2015,5
63,746,430,2019,2
64,271,727,2021,1
65,982,824,2017,4
66,631,383,2022,3
67,114,495,2018,2
68,609,276,2020,5
69,971,606,2023,3
70,140,859,2024,3
71,303,408,2023,3
72,501,369,2022,4
73,998,431,2023,5
74,756,589,2019,4
75,109,479,2022,5
76,353,625,2025,1
77,175,508,2020,1
78,798,311,2024,5
79,10,738,2024,3
80,160,242,2024,1
81,660,121,2024,3
82,723,927,2020,0
83,747,440,2019,0
84,985,586,2020,1
85,393,158,2024,5
86,449,591,2019,0
87,149,706,2022,4
88,355,345,2024,1
89,3,655,2024,3
90,629,962,2016,1
91,551,29,2025,5
92,752,519,2021,1
93,589,309,2018,5
94,842,135,2017,3
95,793,697,2017,5
96,687,226,2017,1
97,746,449,2019,5
98,375,723,2022,3
99,586,724,2018,2
100,742,360,2022,3
101,8,212,2021,4
102,52,223,2024,0
103,651,791,2023,5
104,350,711,2019,1
105,5,982,2018,5
106,175,488,2021,2
107,85,282,2019,2
108,95,988,2017,0
109,707,240,2019,5
110,462,681,2025,4
111,54,837,2023,5
112,333,100,2024,2
113,554,401,2024,0
114,810,154,2023,3
115,251,295,2016,5
116,165,726,2017,5
117,185,177,2018,2
118,348,461,2023,2
119,600,590,2024,1
120,526,693,2025,0
121,664,403,2024,5
122,812,960,2015,2
123,450,375,2016,2
124,227,472,2015,2
125,143,427,2022,3
126,427,431,2016,2
127,958,507,2023,0
128,347,289,2015,2
129,517,709,2017,2
130,333,86,2016,4
131,572,733,2019,3
132,600,931,2021,4
133,824,876,2020,1
134,997,444,2018,4
135,193,822,2021,1
136,650,845,2024,4
137,752,403,2019,0
138,550,424,2020,3
139,368,341,2021,5
140,58,806,2015,2
141,731,380,2024,5
142,139,34,2019,2
143,327,638,2020,4
144,856,905,2025,0
145,348,931,2025,3
146,424,318,2023,0
147,794,143,2019,1
148,734,267,2019,0
149,715,547,2021,3
150,500,374,2019,5
151,261,975,2025,0
152,64,849,2022,0
153,620,285,2016,1
154,354,786,2025,4
155,563,991,2015,5
156,98,702,2018,1
157,276,793,2024,1
158,692,700,2017,4
159,320,210,2020,4
160,612,241,2016,3
161,305,609,2023,1
162,419,550,2022,0
163,62,729,2015,1
164,769,395,2019,5
165,728,628,2024,2
166,923,458,2018,4
167,856,806,2021,0
168,577,940,2024,0
169,627,115,2020,0
170,364,38,2021,2
171,760,657,2016,3
172,454,422,2024,0
173,992,355,2018,4
174,273,638,2021,2
175,797,19,2024,5
176,318,719,2015,3
177,267,193,2024,3
178,838,569,2020,0
179,144,743,2018,2
180,852,975,2021,5
181,70,87,2020,3
182,681,740,2024,0
183,194,66,2019,5
184,200,839,2021,3
185,645,262,2021,4
186,849,660,2023,4
187,455,69,2021,3
188,520,226,2021,5
189,702,285,2017,3
190,253,745,2016,5
191,486,820,2017,3
192,661,785,2017,3
193,803,730,2022,1
194,75,338,2021,5
195,922,484,2021,2
196,360,652,2023,5
197,179,837,2016,3
198,488,809,2017,0
199,610,819,2015,2
200,309,812,2017,3
201,329,143,2023,2
202,8,711,2019,2
203,334,77,2018,2
204,563,741,2019,2
205,578,850,2020,2
206,513,369,2025,5
207,307,384,2018,3
208,489,125,2020,4
209,930,833,2024,3
210,906,314,2025,1
211,919,676,2018,2
212,122,862,2015,4
213,456,399,2025,5
214,1000,396,2019,5
215,822,106,2018,3
216,458,668,2018,4
217,463,966,2015,3
218,503,553,2023,5
219,348,30,2020,5
220,14,672,2017,4
221,367,226,2018,4
222,247,430,2025,5
223,797,366,2020,3
224,836,457,2017,4
225,634,473,2022,1
226,716,132,2021,5
227,603,372,2017,4
228,706,345,2021,4
229,264,737,2018,4
230,795,871,2020,5
231,900,908,2023,4
232,58,228,2016,1
233,4,508,2015,5
234,901,577,2015,4
235,210,228,2015,1
236,173,367,2022,3
237,627,119,2017,3
238,676,590,2017,4
239,725,96,2017,5
240,702,623,2021,3
241,278,909,2015,2
242,715,980,2017,3
243,125,236,2015,4
244,167,716,2018,0
245,463,3,2018,0
246,524,464,2022,5
247,17,229,2021,0
248,281,777,2020,4
249,428,576,2018,4
250,245,938,2019,5
251,306,549,2025,5
252,29,55,2021,3
253,149,858,2015,0
254,77,370,2018,2
255,414,122,2017,1
256,705,184,2020,1
257,279,875,2021,0
258,410,157,2023,5
259,997,209,2015,4
260,930,99,2017,0
261,65,452,2025,3
262,434,504,2022,5
263,174,101,2023,2
264,985,173,2025,3
265,902,951,2023,5
266,163,944,2021,4
267,613,537,2018,4
268,117,250,2025,4
269,598,257,2021,3
270,408,227,2023,3
271,544,240,2019,3
272,750,522,2020,0
273,50,719,2020,2
274,162,464,2021,0
275,288,142,2019,1
276,743,174,2025,3
277,866,185,2017,0
278,653,984,2022,2
279,551,245,2015,2
280,975,478,2016,0
281,651,238,2022,1
282,890,67,2018,1
283,646,556,2015,4
284,235,418,2023,0
285,829,25,2016,3
286,49,889,2016,1
287,765,22,2015,5
288,537,490,2015,4
289,619,631,2020,5
290,207,406,2019,3
291,665,213,2019,5
292,872,489,2018,2
293,906,582,2020,0
294,752,737,2017,1
295,206,156,2021,1
296,829,766,2020,3
297,488,404,2019,0
298,587,105,2016,2
299,636,330,2016,5
300,99,158,2019,3
301,408,298,2024,4
302,580,784,2025,4
303,639,622,2020,4
304,684,480,2022,5
305,658,133,2022,1
306,882,934,2016,4
307,456,95,2020,1
308,499,776,2015,4
309,208,567,2023,2
310,863,977,2015,3
311,323,666,2024,2
312,173,229,2023,4
313,92,769,2018,5
314,9,228,2024,1
315,955,836,2017,3
316,399,783,2016,0
317,886,796,2015,5
318,61,57,2021,2
319,942,784,2024,2
320,775,686,2017,2
321,235,160,2017,5
322,924,758,2024,1
323,131,965,2018,0
324,341,302,2019,2
325,874,896,2022,4
326,430,686,2024,1
327,23,904,2022,3
328,399,361,2020,5
329,498,652,2025,0
330,778,682,2015,2
331,851,170,2016,5
332,533,566,2015,3
333,946,312,2023,0
334,501,995,2019,1
335,262,31,2019,4
336,847,897,2015,2
337,919,46,2023,4
338,654,461,2018,0
339,531,500,2022,1
340,519,577,2019,1
341,704,368,2022,4
342,687,304,2021,5
343,500,269,2023,5
344,834,734,2018,0
345,953,902,2025,5
346,633,819,2018,1
347,820,772,2015,0
348,995,184,2019,4
349,752,956,2019,4
350,975,611,2019,0
351,667,234,2024,4
352,859,800,2017,3
353,883,172,2024,4
354,518,75,2017,3
355,248,552,2017,2
356,743,939,2015,0
357,235,794,2015,2
358,907,326,2021,5
359,794,639,2022,3
360,817,769,2018,4
361,747,469,2022,5
362,544,848,2015,3
363,944,997,2020,0
364,926,641,2017,5
365,258,631,2016,5
366,541,484,2019,2
367,308,850,2020,4
368,848,590,2018,2
369,159,761,2015,4
370,637,490,2023,2
371,565,316,2017,4
372,851,105,2024,5
373,180,608,2022,3
374,283,156,2017,4
375,288,734,2016,0
376,403,880,2018,0
377,656,221,2021,2
378,262,138,2023,0
379,522,71,2024,2
380,626,602,2018,5
381,740,359,2020,4
382,247,989,2025,2
383,907,1000,2025,0
384,761,501,2022,4
385,924,651,2016,0
386,794,65,2019,4
387,950,806,2023,0
388,19,50,2018,4
389,429,668,2022,1
390,948,788,2025,4
391,353,438,2021,4
392,488,103,2017,5
393,392,812,2018,1
394,707,90,2025,2
395,336,110,2022,2
396,756,951,2019,5
397,76,884,2016,5
398,518,208,2018,0
399,510,286,2020,2
400,800,431,2020,2
401,885,604,2017,2
402,754,33,2021,3
403,350,814,2015,2
404,357,308,2019,2
405,855,308,2015,0
406,93,32,2022,5
407,757,443,2015,1
408,550,564,2016,3
409,471,107,2024,0
410,557,849,2024,5
411,801,726,2016,1
412,453,279,2019,0
413,684,316,2015,0
414,573,621,2016,2
415,441,25,2023,1
416,183,978,2024,3
417,16,644,2024,5
418,439,359,2024,4
419,60,752,2025,5
420,501,776,2019,3
421,471,626,2024,3
422,385,207,2025,2
423,786,185,2015,1
424,536,746,2018,3
425,157,364,2019,0
426,383,534,2024,0
427,359,670,2020,5
428,836,164,2019,1
429,473,690,2018,0
430,787,378,2023,4
431,779,278,2023,5
432,775,972,2020,3
433,497,121,2019,3
434,29,749,2016,3
435,75,770,2025,4
436,38,598,2017,2
437,814,625,2021,5
438,172,800,2015,3
439,848,239,2021,5
440,897,31,2019,5
441,732,900,2019,3
442,166,552,2020,4
443,440,357,2019,1
444,825,104,2024,1
445,304,582,2022,4
446,672,560,2017,1
447,84,504,2018,0
448,974,198,2018,1
449,819,867,2025,0
450,75,22,2021,2
451,966,730,2024,4
452,107,377,2019,0
453,669,661,2020,3
454,148,54,2016,5
455,141,704,2015,5
456,159,857,2019,3
457,457,958,2025,5
458,375,662,2022,1
459,210,640,2018,1
460,903,372,2024,5
461,475,440,2025,1
462,234,710,2017,1
463,794,574,2020,1
464,24,519,2022,2
465,997,470,2025,5
466,938,865,2021,0
467,777,749,2024,1
468,819,689,2018,0
469,727,118,2015,3
470,821,621,2017,1
471,847,250,2017,4
472,539,98,2016,4
473,798,636,2021,2
474,165,248,2017,4
475,629,376,2023,4
476,556,531,2017,3
477,42,10,2024,5
478,74,857,2017,2
479,304,512,2018,1
480,869,915,2016,5
481,601,496,2023,3
482,707,1,2017,3
483,255,433,2021,1
484,297,36,2023,1
485,712,582,2017,0
486,670,813,2017,3
487,415,345,2019,4
488,455,590,2020,2
489,35,405,2021,1
490,945,298,2016,0
491,965,224,2016,0
492,814,820,2019,1
493,232,655,2015,0
494,415,854,2016,4
495,74,145,2018,1
496,301,794,2021,2
497,895,616,2017,0
498,55,989,2015,3
499,520,31,2017,2
500,510,585,2019,0
501,693,957,2017,1
502,397,199,2015,2
503,475,227,2023,0
504,158,290,2022,3
505,58,741,2024,1
506,158,632,2017,1
507,16,371,2015,5
508,385,883,2019,1
509,469,36,2023,2
510,402,762,2025,2
511,385,229,2015,5
512,213,167,2020,4
513,249,26,2017,3
514,413,48,2019,2
515,159,517,2024,0
516,434,795,2016,2
517,366,862,2015,5
518,345,831,2019,4
519,388,277,2022,3
520,256,759,2024,5
521,647,436,2019,2
522,353,464,2015,1
523,113,22,2023,5
524,901,907,2018,4
525,586,423,2024,1
526,498,397,2018,4
527,311,831,2021,2
528,664,454,2018,3
529,746,560,2020,3
530,753,236,2023,2
531,361,176,2020,1
532,352,674,2017,4
533,988,654,2019,4
534,803,557,2025,2
535,269,313,2019,0
536,908,981,2018,4
537,232,799,2024,0
538,522,162,2018,5
539,455,184,2017,4
540,768,58,2023,5
541,722,935,2022,3
542,954,557,2017,3
543,47,564,2015,4
544,706,1,2020,0
545,550,193,2016,0
546,189,3,2015,5
547,86,29,2024,1
548,516,645,2015,5
549,271,530,2024,5
550,500,164,2021,0
551,846,834,2023,0
552,333,283,2015,2
553,591,195,2017,0
554,338,161,2015,3
555,847,894,2023,3
556,752,209,2024,0
557,699,235,2025,4
558,337,511,2025,3
559,648,37,2015,0
560,560,566,2017,4
561,399,439,2020,5
562,853,94,2018,5
563,164,381,2018,4
564,715,575,2016,5
565,322,736,2021,4
566,22,307,2022,4
567,751,957,2018,4
